Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Big Organization,F,58.59,,Servers for Small Businesses,
Big Organization,F,24.42,,Servers for Large Businesses,
Small Organization,M,40.51,,Workstations for Professional Use,
Small organization,F,35.53,,Laptop for Work,
Personal Use,M,27.7,,Laptop for Home,
Personal Use,F,36.54,,Gaming Laptop,
Academic purpose,M,29.81,,Desktops for Business,
Big Organization,F,31.21,,Servers for Small Businesses,
Small organization,F,36.59,,Servers for Large Businesses,
Gaming Purpose,M,39.67,,Workstations for Professional Use,
Academic purpose,F,29.57,,Laptop for Work,
Academic purpose,F,46.71,,Laptop for Home,
Small organization,M,22.83,,Gaming Laptop,
Academic purpose,F,57.17,,Desktops for Business,
Academic purpose,M,55.09,,Servers for Small Businesses,
Gaming Purpose,M,24.66,,Servers for Large Businesses,
Small organization,M,55.04,,Workstations for Professional Use,
Small organization,M,43.55,,Laptop for Work,
Small organization,M,47.92,,Laptop for Home,
Big Organization,F,24.08,,Gaming Laptop,
Big Organization,M,40.35,,Desktops for Business,
Personal Use,M,59.95,,Servers for Small Businesses,
Personal Use,M,51.39,,Servers for Large Businesses,
Big Organization,M,44.88,,Workstations for Professional Use,
Big Organization,M,55.89,,Laptop for Work,
Small organization,F,59.66,,Laptop for Home,
Personal Use,F,35.07,,Gaming Laptop,
Small organization,F,47.33,,Desktops for Business,
Small organization,F,56.33,,Servers for Small Businesses,
Small organization,M,24.62,,Servers for Large Businesses,
Personal Use,M,31.34,,Workstations for Professional Use,
Big Organization,M,49.64,,Laptop for Work,
Small organization,F,49.35,,Laptop for Home,
Small organization,M,23.88,,Gaming Laptop,
Gaming Purpose,F,37.8,,Desktops for Business,
Personal Use,M,30.38,,Servers for Small Businesses,
Small Organization,M,37.13,,Servers for Large Businesses,
Academic purpose,M,38.17,,Workstations for Professional Use,
Big Organization,M,36.85,,Laptop for Work,
Personal Use,M,26.01,,Laptop for Home,
Personal Use,F,35.88,,Gaming Laptop,
Big Organization,F,57.33,,Desktops for Business,
Personal Use,M,54.13,,Servers for Small Businesses,
Gaming Purpose,M,33.4,,Servers for Large Businesses,
Personal Use,F,56.32,,Workstations for Professional Use,
Big Organization,F,21.84,,Laptop for Work,
Personal Use,F,22.05,,Laptop for Home,
Big Organization,F,29.29,,Gaming Laptop,
Big Organization,F,45.18,,Desktops for Business,
Small organization,M,37.35,,Servers for Small Businesses,
Small organization,M,33.31,,Servers for Large Businesses,
Academic purpose,M,28.82,,Workstations for Professional Use,
Big Organization,M,21.72,,Laptop for Work,
Small Organization,M,43.12,,Laptop for Home,
Big Organization,M,48.35,,Gaming Laptop,
Big Organization,M,27.02,,Desktops for Business,
Big Organization,M,58.21,,Servers for Small Businesses,
Small Organization,M,26.57,,Servers for Large Businesses,
Small organization,M,31.88,,Workstations for Professional Use,
Big Organization,M,57.32,,Laptop for Work,
Big Organization,F,26.42,,Laptop for Home,
Big Organization,M,42.75,,Gaming Laptop,
Small organization,M,50.39,,Desktops for Business,
Small Organization,M,55.01,,Servers for Small Businesses,
Big Organization,F,46.17,,Servers for Large Businesses,
Big Organization,F,38.85,,Workstations for Professional Use,
Small organization,M,57.61,,Laptop for Work,
Small organization,M,32.81,,Laptop for Home,
Small Organization,M,36.76,,Gaming Laptop,
Big Organization,M,29.71,,Desktops for Business,
Small Organization,F,31.05,,Servers for Small Businesses,
Small organization,M,22.31,,Servers for Large Businesses,
Gaming Purpose,F,48.53,,Workstations for Professional Use,
Big Organization,F,39.3,,Laptop for Work,
Big Organization,F,30.5,,Laptop for Home,
Big Organization,M,54.48,,Gaming Laptop,
Personal Use,F,48.32,,Desktops for Business,
Small Organization,F,42.24,,Servers for Small Businesses,
Small Organization,F,22.49,,Servers for Large Businesses,
Personal Use,M,23.21,,Workstations for Professional Use,
Big Organization,M,55.99,,Laptop for Work,
Gaming Purpose,M,22.28,,Laptop for Home,
Academic purpose,M,55.84,,Gaming Laptop,
Small organization,M,55.76,,Desktops for Business,
Small Organization,M,46.93,,Servers for Small Businesses,
Small organization,M,30.83,,Servers for Large Businesses,
Personal Use,F,47.11,,Workstations for Professional Use,
Big Organization,M,25.28,,Laptop for Work,
Academic purpose,F,49.52,,Laptop for Home,
Personal Use,F,50.42,,Gaming Laptop,
Small organization,F,34.14,,Desktops for Business,
Personal Use,F,38.32,,Servers for Small Businesses,
Small Organization,M,47.66,,Servers for Large Businesses,
Academic purpose,M,53.22,,Workstations for Professional Use,
Personal Use,M,39.53,,Laptop for Work,
Big Organization,M,25.3,,Laptop for Home,
Gaming Purpose,F,39.3,,Gaming Laptop,
Big Organization,F,59.56,,Desktops for Business,
Small Organization,F,51.17,,Servers for Small Businesses,
Small Organization,F,33.07,,Servers for Large Businesses,
Big Organization,F,55.86,,Workstations for Professional Use,
Small organization,F,40.4,,Laptop for Work,
Small organization,F,41.67,,Laptop for Home,
Small organization,M,49.34,,Gaming Laptop,
Gaming Purpose,F,25.81,,Desktops for Business,
Gaming Purpose,M,53.84,,Servers for Small Businesses,
Big Organization,M,26.95,,Servers for Large Businesses,
Big Organization,F,22.21,,Workstations for Professional Use,
Big Organization,M,28.1,,Laptop for Work,
Small organization,F,30.61,,Laptop for Home,
Academic purpose,M,46.67,,Gaming Laptop,
Gaming Purpose,F,35.68,,Desktops for Business,
Gaming Purpose,F,38.74,,Servers for Small Businesses,
Big Organization,F,27.59,,Servers for Large Businesses,
Small Organization,M,27.75,,Workstations for Professional Use,
Big Organization,F,56.15,,Laptop for Work,
Small organization,F,28.22,,Laptop for Home,
Personal Use,M,52.32,,Gaming Laptop,
Big Organization,F,37.9,,Desktops for Business,
Small organization,F,29.89,,Servers for Small Businesses,
Big Organization,F,59.07,,Servers for Large Businesses,
Small organization,M,43.45,,Workstations for Professional Use,
Big Organization,M,32.09,,Laptop for Work,
Academic purpose,M,58.58,,Laptop for Home,
Small Organization,F,32.3,,Gaming Laptop,
Personal Use,F,46.29,,Desktops for Business,
Big Organization,F,28.04,,Servers for Small Businesses,
Big Organization,M,28.77,,Servers for Large Businesses,
Personal Use,F,57.98,,Workstations for Professional Use,
Gaming Purpose,F,37.28,,Laptop for Work,
Small organization,F,47.74,,Laptop for Home,
Big Organization,F,21.41,,Gaming Laptop,
Small Organization,F,45.67,,Desktops for Business,
Academic purpose,M,21.5,,Servers for Small Businesses,
Big Organization,M,58.96,,Servers for Large Businesses,
Big Organization,F,58.35,,Workstations for Professional Use,
Small Organization,M,35.95,,Laptop for Work,
Gaming Purpose,M,52.18,,Laptop for Home,
Big Organization,F,33.72,,Gaming Laptop,
Big Organization,F,43.83,,Desktops for Business,
Big Organization,F,24.91,,Servers for Small Businesses,
Gaming Purpose,M,55.19,,Servers for Large Businesses,
Small organization,F,45.81,,Workstations for Professional Use,
Academic purpose,M,56.96,,Laptop for Work,
Big Organization,M,22.67,,Laptop for Home,
Personal Use,M,43.53,,Gaming Laptop,
Small organization,M,56.3,,Desktops for Business,
Big Organization,F,59.25,,Servers for Small Businesses,
Small organization,M,33.86,,Servers for Large Businesses,
Small organization,F,58.85,,Workstations for Professional Use,
Big Organization,M,49.99,,Laptop for Work,
Gaming Purpose,F,31.12,,Laptop for Home,
Gaming Purpose,M,38.11,,Gaming Laptop,
Big Organization,F,34.93,,Desktops for Business,
Gaming Purpose,F,54.99,,Servers for Small Businesses,
Gaming Purpose,F,30.36,,Servers for Large Businesses,
Big Organization,F,48.59,,Workstations for Professional Use,
Personal Use,F,51.21,,Laptop for Work,
Small organization,F,45.14,,Laptop for Home,
Small organization,F,55.65,,Gaming Laptop,
Big Organization,M,53.47,,Desktops for Business,
Academic purpose,F,40.25,,Servers for Small Businesses,
Small organization,F,37.57,,Servers for Large Businesses,
Gaming Purpose,M,27.08,,Workstations for Professional Use,
Small Organization,M,35.44,,Laptop for Work,
Big Organization,F,41.26,,Laptop for Home,
Small Organization,F,34.16,,Gaming Laptop,
Small organization,M,39.6,,Desktops for Business,
Big Organization,F,30.21,,Servers for Small Businesses,
Academic purpose,M,24.59,,Servers for Large Businesses,
Big Organization,F,41.06,,Workstations for Professional Use,
Academic purpose,F,31.58,,Laptop for Work,
Academic purpose,F,28.99,,Laptop for Home,
Academic purpose,F,28.24,,Gaming Laptop,
Academic purpose,M,49.19,,Desktops for Business,
Academic purpose,M,38.27,,Servers for Small Businesses,
Small Organization,M,37.03,,Servers for Large Businesses,
Small Organization,M,21.34,,Workstations for Professional Use,
Small Organization,F,53.72,,Laptop for Work,
Small organization,M,55.3,,Laptop for Home,
Personal Use,F,54.08,,Gaming Laptop,
Big Organization,M,40.65,,Desktops for Business,
Big Organization,F,34.62,,Servers for Small Businesses,
Gaming Purpose,F,58.21,,Servers for Large Businesses,
Gaming Purpose,M,54.9,,Workstations for Professional Use,
Personal Use,M,54.09,,Laptop for Work,
Big Organization,M,54.08,,Laptop for Home,
Gaming Purpose,M,21.91,,Gaming Laptop,
Big Organization,M,47.78,,Desktops for Business,
Big Organization,F,58.21,,Servers for Small Businesses,
Big Organization,M,42.1,,Servers for Large Businesses,
Personal Use,F,57.21,,Workstations for Professional Use,
Personal Use,F,55.02,,Laptop for Work,
Small Organization,F,58.72,,Laptop for Home,
Personal Use,M,49.91,,Gaming Laptop,
Gaming Purpose,M,40.33,,Desktops for Business,
Small organization,M,54.42,,Servers for Small Businesses,
Big Organization,M,50.92,,Servers for Large Businesses,
Academic purpose,M,35.52,,Workstations for Professional Use,
Personal Use,F,22.34,,Laptop for Work,
Small Organization,M,37.84,,Laptop for Home,
Personal Use,F,39.32,,Gaming Laptop,
Personal Use,M,39.22,,Desktops for Business,
Academic purpose,M,53.73,,Servers for Small Businesses,
Personal Use,F,30.6,,Servers for Large Businesses,
Personal Use,M,57.02,,Workstations for Professional Use,
Big Organization,F,47.04,,Laptop for Work,
Small Organization,M,47.89,,Laptop for Home,
Personal Use,F,33.07,,Gaming Laptop,
Personal Use,M,29.27,,Desktops for Business,
Small organization,M,49.28,,Servers for Small Businesses,
Small organization,M,34.56,,Servers for Large Businesses,
Big Organization,F,40.13,,Workstations for Professional Use,
Gaming Purpose,F,26.99,,Laptop for Work,
Small organization,M,21.03,,Laptop for Home,
Gaming Purpose,F,23.4,,Gaming Laptop,
Small organization,M,21.68,,Desktops for Business,
Small Organization,M,52.19,,Servers for Small Businesses,
Big Organization,F,58.62,,Servers for Large Businesses,
Big Organization,M,23.47,,Workstations for Professional Use,
Big Organization,F,59.12,,Laptop for Work,
Gaming Purpose,M,57.57,,Laptop for Home,
Big Organization,M,48.16,,Gaming Laptop,
Small Organization,F,23.69,,Desktops for Business,
Small Organization,M,52.87,,Servers for Small Businesses,
Big Organization,M,43.93,,Servers for Large Businesses,
Big Organization,F,36.01,,Workstations for Professional Use,
Personal Use,F,51.4,,Laptop for Work,
Big Organization,F,53.87,,Laptop for Home,
Big Organization,M,40.75,,Gaming Laptop,
Big Organization,F,53.31,,Desktops for Business,
Personal Use,M,35.81,,Servers for Small Businesses,
Personal Use,M,49.08,,Servers for Large Businesses,
Academic purpose,F,47.61,,Workstations for Professional Use,
Small organization,F,57.45,,Laptop for Work,
Academic purpose,M,22.52,,Laptop for Home,
Big Organization,M,58.98,,Gaming Laptop,
Big Organization,F,53.76,,Desktops for Business,
Gaming Purpose,M,29.62,,Servers for Small Businesses,
Gaming Purpose,F,37.05,,Servers for Large Businesses,
Personal Use,F,40.04,,Workstations for Professional Use,
Small Organization,F,57.59,,Laptop for Work,
Academic purpose,M,33.23,,Laptop for Home,
Small organization,F,26.27,,Gaming Laptop,
Big Organization,F,21.28,,Desktops for Business,
Academic purpose,M,47.11,,Servers for Small Businesses,
Big Organization,F,38.49,,Servers for Large Businesses,
Small Organization,M,33.96,,Workstations for Professional Use,
Big Organization,F,45.7,,Laptop for Work,
Small Organization,F,58.48,,Laptop for Home,
Gaming Purpose,F,58.86,,Gaming Laptop,
Small organization,F,25.3,,Desktops for Business,
Gaming Purpose,F,33.85,,Servers for Small Businesses,
Big Organization,M,39.52,,Servers for Large Businesses,
Personal Use,F,53.57,,Workstations for Professional Use,
Big Organization,M,23.35,,Laptop for Work,
Academic purpose,F,37.27,,Laptop for Home,
Personal Use,F,25.15,,Gaming Laptop,
Big Organization,M,25.11,,Desktops for Business,
Gaming Purpose,F,50.56,,Servers for Small Businesses,
Gaming Purpose,M,24.02,,Servers for Large Businesses,
Small organization,M,39.98,,Workstations for Professional Use,
Gaming Purpose,M,38.75,,Laptop for Work,
Small Organization,M,31.27,,Laptop for Home,
Gaming Purpose,M,54.2,,Gaming Laptop,
Small Organization,M,39.71,,Desktops for Business,
Small organization,F,47.01,,Servers for Small Businesses,
Academic purpose,F,45.21,,Servers for Large Businesses,
Big Organization,M,26.38,,Workstations for Professional Use,
Big Organization,F,47.73,,Laptop for Work,
Big Organization,M,26.18,,Laptop for Home,
Small organization,M,35.01,,Gaming Laptop,
Big Organization,M,48.2,,Desktops for Business,
Personal Use,F,57.53,,Servers for Small Businesses,
Academic purpose,M,34.81,,Servers for Large Businesses,
Personal Use,F,59.68,,Workstations for Professional Use,
Big Organization,F,26.76,,Laptop for Work,
Gaming Purpose,M,52.26,,Laptop for Home,
Big Organization,F,38.24,,Gaming Laptop,
Academic purpose,M,41.13,,Desktops for Business,
Academic purpose,F,39.22,,Servers for Small Businesses,
Small Organization,M,24.21,,Servers for Large Businesses,
Small organization,M,45.05,,Workstations for Professional Use,
Academic purpose,M,56.65,,Laptop for Work,
Gaming Purpose,M,40.24,,Laptop for Home,
Academic purpose,F,33.31,,Gaming Laptop,
Academic purpose,M,48.59,,Desktops for Business,
Academic purpose,F,46.43,,Servers for Small Businesses,
Academic purpose,M,37.48,,Servers for Large Businesses,
Small Organization,M,31.62,,Workstations for Professional Use,
Gaming Purpose,M,46.48,,Laptop for Work,
Gaming Purpose,M,28.04,,Laptop for Home,
Big Organization,F,33.14,,Gaming Laptop,
Big Organization,M,38.86,,Desktops for Business,
Gaming Purpose,F,21.11,,Servers for Small Businesses,
Small organization,F,37.96,,Servers for Large Businesses,
Small organization,F,43.43,,Workstations for Professional Use,
Gaming Purpose,F,44.88,,Laptop for Work,
Big Organization,M,37.13,,Laptop for Home,
Academic purpose,F,34.03,,Gaming Laptop,
Gaming Purpose,M,40.06,,Desktops for Business,
Big Organization,F,29.16,,Servers for Small Businesses,
Small organization,F,26.96,,Servers for Large Businesses,
Gaming Purpose,M,32.02,,Workstations for Professional Use,
Academic purpose,F,47.78,,Laptop for Work,
Big Organization,M,58.34,,Laptop for Home,
Academic purpose,M,44.27,,Gaming Laptop,
Gaming Purpose,M,47.05,,Desktops for Business,
Academic purpose,M,46.83,,Servers for Small Businesses,
Small organization,F,32.69,,Servers for Large Businesses,
Gaming Purpose,F,49.53,,Workstations for Professional Use,
Big Organization,F,35.16,,Laptop for Work,
Big Organization,M,31.48,,Laptop for Home,
Personal Use,F,56.62,,Gaming Laptop,
Big Organization,F,46.42,,Desktops for Business,
Big Organization,F,29.76,,Servers for Small Businesses,
Big Organization,F,29.52,,Servers for Large Businesses,
Big Organization,F,29.19,,Workstations for Professional Use,
Big Organization,F,23.45,,Laptop for Work,
Academic purpose,M,44.18,,Laptop for Home,
Gaming Purpose,M,43.75,,Gaming Laptop,
Personal Use,M,53.59,,Desktops for Business,
Small Organization,M,51.35,,Servers for Small Businesses,
Academic purpose,M,52.11,,Servers for Large Businesses,
Personal Use,M,32.47,,Workstations for Professional Use,
